@relation group4
@attribute class {'X1','X2','X3','X4'}
@attribute Prevalence_of_Most_Common_Pitch numeric
@attribute Prevalence_of_Most_Common_Pitch_Class numeric
@attribute Relative_Prevalence_of_Top_Pitches numeric
@attribute Relative_Prevalence_of_Top_Pitch_Classes numeric
@attribute Interval_Between_Most_Prevalent_Pitches numeric
@attribute Interval_Between_Most_Prevalent_Pitch_Classes numeric
@attribute Number_of_Common_Pitches numeric
@attribute Pitch_Variety numeric
@attribute Pitch_Class_Variety numeric
@attribute Range numeric
@attribute Most_Common_Pitch numeric
@attribute Mean_Pitch numeric
@attribute Importance_of_Middle_Register numeric
@attribute Importance_of_High_Register numeric
@attribute Most_Common_Pitch_Class numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Mean_Melodic_Interval numeric
@attribute Number_of_Common_Melodic_Intervals numeric
@attribute Distance_Between_Most_Prevalent_Melodic_Intervals numeric
@attribute Prevalence_of_Most_Common_Melodic_Interval numeric
@attribute Relative_Prevalence_of_Most_Common_Melodic_Intervals numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Melodic_Thirds numeric
@attribute Melodic_Perfect_Fourths numeric
@attribute Melodic_Tritones numeric
@attribute Melodic_Perfect_Fifths numeric
@attribute Melodic_Sixths numeric
@attribute Melodic_Sevenths numeric
@attribute Melodic_Octaves numeric
@attribute Melodic_Large_Intervals numeric
@attribute Minor_Major_Melodic_Third_Ratio numeric
@attribute Melodic_Embellishments numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Average_Length_of_Melodic_Arcs numeric
@attribute Average_Interval_Spanned_by_Melodic_Arcs numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Second_Strongest_Rhythmic_Pulse numeric
@attribute Harmonicity_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Strength_of_Strongest_Rhythmic_Pulse numeric
@attribute Strength_of_Second_Strongest_Rhythmic_Pulse numeric
@attribute Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Combined_Strength_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Number_of_Strong_Rhythmic_Pulses numeric
@attribute Number_of_Moderate_Rhythmic_Pulses numeric
@attribute Number_of_Relatively_Strong_Rhythmic_Pulses numeric
@attribute Polyrhythms numeric
@attribute Rhythmic_Variability numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Average_Note_Duration numeric
@attribute Variability_of_Note_Durations numeric
@attribute Maximum_Note_Duration numeric
@attribute Minimum_Note_Duration numeric
@attribute Amount_of_Staccato numeric
@attribute Average_Time_Between_Attacks numeric
@attribute Variability_of_Time_Between_Attacks numeric
@attribute Complete_Rests numeric
@attribute Longest_Complete_Rest numeric
@attribute Duration numeric
@attribute Rhythmic_Looseness numeric
@data
'X1',0.3043,0.3043,1,1,2,2,2,8,7,12,74,75,0.1739,0.8261,2,1,2,2,2,4,2,0.5455,0.3333,0.2273,0.1818,0.09091,0.6364,0.04545,0.1364,0,0,0,0,0,0,0,0.08696,0.4444,2,4.556,3.333,120,60,2,0.3091,0.2909,1.062,0.6,3,7,3,1,0.03974,1.769,0.25,0.5217,0.2186,1,0.125,0,0.5222,0.2237,0.07692,12.5,13,0
'X1',0.5,0.5,1,1,2,2,2,2,2,2,69,70,1,0,9,1,2,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,1,0,0.5,0,0.5,0.5,0,0.4995,0,0.5,1.5,2,0
'X1',0.5,0.5,1,1,5,7,2,2,2,5,69,71,0.5,0.5,2,2,0,5,5,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,1,0,0.5,0,0.5,0.5,0,0.4995,0,0.5,1.5,2,0
'X1',0.5455,0.5455,0.3333,0.3333,3,2,4,4,4,5,74,73,0.2727,0.7273,2,2,2,0,1.4,3,2,0.4,1,0.6,0.4,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0.3333,1.5,3,1.714,80,120,1.5,0.2353,0.2353,1,0.4706,5,5,5,0.4,0.03533,2.2,1.945,0.4091,0.3917,1.5,0.25,0,0.2995,0.1581,0.1818,5,5.5,0
'X1',0.2222,0.2222,0.75,0.75,9,3,7,7,7,10,76,71,0.6667,0.3333,4,7,2,1,2.059,4,1,0.2941,1,0.3529,0.1765,0.2941,0.5882,0.1765,0,0,0,0.05882,0,0,0,0.5,0,0.4286,3.5,8.5,6.091,120,60,2,0.3077,0.2564,1.2,0.5641,5,5,5,0.6,0.03779,2,0.1768,0.4583,0.2876,1.5,0.25,0,0.4701,0.2916,0.1081,8.75,9.25,0
'X1',0.75,0.75,0.3333,0.3333,2,2,2,2,2,2,71,70,1,0,11,1,2,0,0.6667,2,2,0.6667,0.5,0.6667,0.6667,0,0.3333,0,0,0,0,0,0,0,0,0,0.25,0,0,0,1,60,48,1.25,0.5,0.25,2,0.75,3,3,3,0.3333,0.04801,1.333,0,0.625,0.3227,1,0.25,0,0.6662,0.3819,0.2857,3,3.5,0
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0
'X1',0.25,0.25,1,1,2,2,4,4,4,5,62,64,1,0,2,2,2,2,3,2,3,0.6667,0.5,0,0,0,0.6667,0,0.3333,0,0,0,0,0,0,0,0,0.3333,3,4,0,48,60,1.25,0.25,0.25,1,0.5,4,4,4,0.25,0.03903,2,0,0.4375,0.2394,0.75,0.25,0,0.4162,0.2887,0.3636,2.25,2.75,0
'X1',0.4,0.4,1,1,2,2,3,3,3,4,76,76,0,1,4,1,3,0,1,2,2,0.5,1,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,120,1.5,0.375,0.25,1.5,0.625,5,5,5,0.4,0.03903,1.667,0,0.55,0.4108,1.25,0.25,0,0.3745,0.1443,0.2667,3.25,3.75,0
'X1',0.5,0.5,1,1,2,2,2,2,2,2,74,75,0,1,2,1,2,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0.375,0.1768,0.5,0.25,0,0.2495,0,0.5714,1.25,1.75,0
'X1',0.6667,0.6667,0.5,0.5,5,7,2,2,2,5,69,70,0.6667,0.3333,9,2,1,0,2.5,2,5,0.5,1,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,1,120,60,2,0.6667,0.3333,2,1,2,2,2,1,0.0586,1.5,0,0.5,0,0.5,0.5,0,0.4995,0,0.4,2,2.5,0
'X1',0.6364,0.6364,0.2857,0.2857,3,2,3,3,3,5,74,73,0.1818,0.8182,2,2,1,0,1.4,3,2,0.4,1,0.6,0.4,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0.5,1.5,2.75,1.75,120,80,1.5,0.2571,0.2286,1.125,0.4857,5,5,5,0.6,0.03553,3.667,0,0.25,0,0.25,0.25,0,0.2495,0,0.2667,3.25,3.75,0
'X1',0.6667,0.6667,0.5,0.5,3,9,2,2,2,3,72,71,1,0,0,1,2,0,1.5,2,3,0.5,1,1,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,80,120,1.5,0.5,0.5,1,1,2,2,2,0.5,0.05555,1.5,0,0.3333,0.1443,0.5,0.25,0,0.3745,0.1768,0.5,1.5,2,0
'X1',0.5,0.5,1,1,2,2,2,2,2,2,69,70,1,0,9,1,2,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0.375,0.1768,0.5,0.25,0,0.2495,0,0.5714,1.25,1.75,0
'X1',0.4,0.4,0.5,0.5,7,7,4,4,4,9,69,67,1,0,9,3,2,2,2.889,5,2,0.5556,0.2,0.3333,0.1111,0,0.5556,0.1111,0.1111,0,0.1111,0,0,0,0,0,0,0.5,2,4.75,3,48,40,1.2,0.2,0.16,1.25,0.36,5,9,5,0.2,0.02985,2.5,0,0.3,0.1882,0.75,0.125,0,0.3051,0.1987,0.25,3.5,4,0
'X1',1,1,0,0,69,9,1,1,1,0,69,69,1,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3333,0,2,0,2,2,0,0,0,0.3333,2.5,3,0
'X1',0.25,0.25,1,1,4,4,4,6,6,9,62,65,1,0,2,2,3,2,2.091,4,2,0.5455,0.3333,0.1818,0.1818,0.09091,0.6364,0,0.1818,0,0,0,0,0,0,0,0,0.3333,3,6,3.333,40,120,3,0.25,0.25,1,0.5,5,5,5,0.6,0.03585,2,0.3536,0.4375,0.2413,1,0.25,0,0.4313,0.2523,0.16,5.75,6.25,0
'X1',0.5,0.5,1,1,5,7,2,2,2,5,67,69,1,0,0,2,0,5,5,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,1,0,0.5,0,0.5,0.5,0,0.4995,0,0.5,1.5,2,0
'X1',0.6667,0.6667,0.5,0.5,2,2,2,2,2,2,74,73,0.3333,0.6667,2,1,2,0,1,2,2,0.5,1,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,1,120,160,1.333,0.5,0.5,1,1,2,2,2,0.5,0.05555,1.5,0,0.3333,0.1909,0.5,0.125,0,0.2495,0.1768,0.5,1.5,2,0
'X1',0.1818,0.1818,1,1,5,2,8,8,7,12,69,73,0.4545,0.5455,2,7,0,2,2.1,3,1,0.7,0.2857,0.2,0,0.1,0.8,0.2,0,0,0,0,0,0,0,0,0,0.6,10,9,5.333,120,60,2,0.3182,0.2273,1.4,0.5455,4,5,4,0.75,0.03717,2.2,1.945,0.3864,0.2335,1,0.25,0,0.3995,0.2415,0.1905,4.75,5.25,0
'X1',0.28,0.28,0.5714,0.5714,3,3,4,7,7,10,69,68,0.84,0.16,9,2,2,2,2.75,3,1,0.4167,0.4,0.2083,0.08333,0.1667,0.5833,0.125,0.125,0,0,0.08333,0,0,0,0.5,0,0.4545,1.833,5.333,5.889,40,120,3,0.2338,0.2208,1.059,0.4545,5,5,5,0.6,0.03512,2.5,1.893,0.36,0.178,1,0.25,0,0.3537,0.1793,0.1,9.5,10,0
'X1',0.5,0.5,1,1,3,9,2,2,2,3,69,70,1,0,0,1,2,3,3,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,2,0,0.4375,0.08839,0.5,0.375,0,0.4995,0,0.5333,1.375,1.875,0
'X1',0.6667,0.6667,0.5,0.5,2,2,2,2,2,2,72,72,0.6667,0.3333,0,1,2,0,1,2,2,0.5,1,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,1,60,80,1.333,0.5,0.5,1,1,2,2,2,0.5,0.05555,1,0,0.6667,0.3819,1,0.25,0,0.4995,0.3536,0.3333,2.5,3,0
'X1',0.5,0.5,1,1,2,2,2,2,2,2,74,75,0,1,2,1,2,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0.375,0.1768,0.5,0.25,0,0.2495,0,0.5714,1.25,1.75,0
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0
'X1',0.6667,0.6667,0.5,0.5,1,11,2,2,2,1,71,71,1,0,11,1,2,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.5,2,1,2,120,0,120,1,0,0,1,1,1,1,1,0.07881,3,0,0.25,0,0.25,0.25,0,0.2495,0,0.5714,1.25,1.75,0
'X1',0.2143,0.2857,1,0.75,3,9,4,8,7,12,71,69,0.7857,0.2143,2,3,2,2,2.231,4,2,0.3846,0.4,0.4615,0.1538,0.1538,0.5385,0.2308,0,0,0.07692,0,0,0,0,2,0,0.6364,3.667,8.667,3.167,40,80,2,0.2727,0.2727,1,0.5455,5,5,5,0.6,0.03651,2,0.5303,0.4643,0.2918,1.25,0.25,0,0.4034,0.192,0.1333,7,7.5,0
'X1',0.1857,0.1857,0.8462,0.9231,2,5,5,12,8,17,69,70,0.6714,0.3286,9,6,1,2,2.333,4,1,0.3913,0.4074,0.3768,0.1304,0.1594,0.5507,0.2029,0.07246,0,0.04348,0,0,0,0,0.75,0.04286,0.4167,2.143,5.571,4.945,60,120,2,0.2156,0.2156,1,0.4312,5,10,5,0.4,0.0311,2.414,0.3446,0.4071,0.2103,1,0.125,0,0.4053,0.2116,0.0339,29,29.5,0
'X1',0.5,0.5,0.5,0.5,2,2,3,3,3,4,74,74,0.25,0.75,2,1,3,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3333,3,4,2,120,60,2,0.5,0.25,2,0.75,3,3,3,0.6667,0.04801,2,0,0.3125,0.125,0.5,0.25,0,0.3328,0.1443,0.4444,1.75,2.25,0
'X1',0.4,0.4,0.5,0.5,2,9,4,4,4,5,69,69,1,0,9,2,2,2,2,3,1,0.5,0.5,0.25,0,0.25,0.75,0.25,0,0,0,0,0,0,0,0,0,0.25,4,3,3,120,60,2,0.375,0.25,1.5,0.625,5,5,5,0.6,0.03903,1.667,0,0.5,0.3062,1,0.25,0,0.3745,0.1443,0.2857,3,3.5,0
'X1',0.5,0.5,1,1,5,5,2,2,2,5,62,64,1,0,2,2,0,5,5,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60,1,0,0,1,1,1,1,1,0.07881,1,0,0.75,0.3536,1,0.5,0,0.9995,0,0.4,2,2.5,0
'X1',0.3333,0.3333,1,1,2,2,3,3,3,4,67,69,1,0,7,1,3,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,60,2,0.6667,0.3333,2,1,2,2,2,1,0.0586,1,0,0.6667,0.2887,1,0.5,0,0.4995,0,0.3333,2.5,3,0
'X1',0.2143,0.2143,0.8333,1,5,5,5,10,7,17,62,65,1,0,7,5,2,2,2.296,5,1,0.4074,0.4545,0.2593,0.1111,0.1852,0.5926,0.1481,0.1481,0,0,0,0,0,0,0.3333,0,0.5,2,5,3.438,80,40,2,0.2247,0.2022,1.111,0.427,5,5,5,0.4,0.03488,2.8,2.097,0.3304,0.153,0.75,0.25,0,0.3328,0.155,0.09756,9.75,10.25,0
'X1',0.25,0.25,0.75,0.75,3,3,5,7,7,10,69,69,0.8125,0.1875,9,3,1,2,2.8,3,1,0.4667,0.4286,0.2667,0.06667,0.06667,0.5333,0.2,0.1333,0,0,0.06667,0,0,0,0,0.0625,0.2857,2.333,6.333,5.333,120,60,2,0.3529,0.3235,1.091,0.6765,3,5,3,1,0.04293,1.455,0.25,0.6406,0.508,2.5,0.25,0,0.6328,0.525,0.08889,10.75,11.25,0
'X1',0.3333,0.3333,1,1,2,7,3,3,3,5,67,69,1,0,0,2,1,2,2.5,2,1,0.5,1,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,3,0,0.25,0,0.25,0.25,0,0.2495,0,0.5714,1.25,1.75,0
'X1',1,1,0,0,71,11,1,1,1,0,71,71,1,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,1.5,0,1.5,1.5,0,0,0,0.4,2,2.5,0
'X1',0.3261,0.3261,0.6667,0.6667,3,9,5,7,7,11,74,72,0.5217,0.4783,2,3,3,2,2.022,4,2,0.3333,0.7333,0.5111,0.2444,0.1333,0.4667,0.2222,0,0,0.04444,0.02222,0,0,0,4,0,0.4706,2,5.235,3.639,80,40,2,0.3061,0.2653,1.154,0.5714,5,5,5,0.4,0.03701,1.84,1.021,0.5272,0.3622,1.5,0.25,0,0.5328,0.3638,0.0396,24.75,25.25,0
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0
'X1',1,1,0,0,74,2,1,1,1,0,74,74,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3333,0,2,0,2,2,0,0,0,0.3333,2.5,3,0
'X1',0.5,0.5,1,1,3,3,2,2,2,3,64,65,1,0,4,1,2,3,3,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,1,0,0.75,0.3536,1,0.5,0,0.4995,0,0.4,2,2.5,0
'X1',0.2308,0.2308,1,1,2,2,4,7,7,11,74,72,0.4615,0.5385,2,3,2,0,1.667,3,2,0.3333,1,0.5833,0.3333,0.08333,0.4167,0.25,0,0,0,0,0,0,0,0.5,0,0.375,8,11,3.167,120,40,3,0.2162,0.1622,1.333,0.3784,5,10,5,0.6,0.02934,2.6,2.298,0.3269,0.1305,0.5,0.125,0,0.3328,0.1341,0.1905,4.75,5.25,0
'X1',0.3286,0.3286,0.4783,0.6087,2,9,4,9,7,14,71,69,0.8143,0.1857,11,3,2,2,2.203,3,2,0.3768,0.6923,0.4203,0.2609,0.1014,0.4783,0.1304,0.05797,0,0.02899,0.04348,0,0,0,0.8,0,0.3922,2.833,7.944,4.094,40,80,2,0.2267,0.2267,1,0.4534,5,5,5,0.6,0.03502,2.8,1.577,0.3536,0.2063,1.25,0.25,0,0.3546,0.2074,0.03883,25.25,25.75,0
'X1',1,1,0,0,71,11,1,1,1,0,71,71,1,0,11,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,1,40,120,3,0.3333,0.3333,1,0.6667,3,3,3,1,0.04522,1.333,0,0.625,0.6038,1.5,0.125,0,0.6662,0.7324,0.2857,3,3.5,0
'X1',0.3077,0.3077,0.75,0.75,2,7,4,6,5,12,69,68,0.9231,0.07692,9,3,2,2,2.083,3,1,0.4167,0.6,0.4167,0.1667,0.08333,0.5,0.25,0.08333,0,0,0,0,0,0,0,0,0.4,3.333,5,3.429,40,60,1.5,0.2581,0.2581,1,0.5161,4,5,5,0.6,0.03705,2.167,0.1768,0.4231,0.2137,1,0.25,0,0.437,0.2165,0.1538,6,6.5,0
'X1',0.4,0.4,0.5,0.5,7,2,5,5,5,7,76,73,0.4,0.6,4,4,2,0,1,3,2,0.4444,1,0.4444,0.4444,0.1111,0.5556,0,0,0,0,0,0,0,0,0,0,0.8,5,7,1.8,120,40,3,0.2273,0.1818,1.25,0.4091,3,9,6,0.5,0.02985,2,1.768,0.45,0.3918,1.5,0.125,0,0.444,0.4151,0.1818,5,5.5,0
'X1',0.3333,0.3333,1,1,5,2,3,3,3,10,62,67,1,0,0,3,0,5,7.5,2,5,0.5,1,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,2,5,0,120,60,2,0.6667,0.3333,2,1,2,2,2,1,0.0586,1,0,0.6667,0.2887,1,0.5,0,0.4995,0,0.3333,2.5,3,0
'X1',0.5,0.5,1,1,2,2,2,2,2,2,69,70,1,0,9,1,2,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,1,0,0.5,0,0.5,0.5,0,0.4995,0,0.5,1.5,2,0
'X1',0.5,0.5,1,1,4,4,2,2,2,4,74,76,0,1,2,1,2,4,4,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,1,0,0.5,0,0.5,0.5,0,0.4995,0,0.5,1.5,2,0
'X1',0.75,0.75,0.3333,0.3333,2,2,2,2,2,2,79,79,0,1,7,1,2,0,0.6667,2,2,0.6667,0.5,0.6667,0.6667,0,0.3333,0,0,0,0,0,0,0,0,0,0.25,1,0,0,1,120,60,2,0.4,0.2,2,0.6,4,4,4,0.5,0.04137,2,0,0.375,0.1768,0.5,0.125,0,0.3328,0.1909,0.4,2,2.5,0
'X1',0.4,0.4,0.5,0.5,2,2,4,4,4,5,76,76,0,1,4,2,2,2,2,3,1,0.5,0.5,0.25,0,0.25,0.75,0.25,0,0,0,0,0,0,0,0,0,0.5,4,3,3,120,80,1.5,0.5,0.3333,1.5,0.8333,3,3,3,0.6667,0.04891,1.667,0,0.4,0.3354,1,0.25,0,0.2495,0,0.3333,2.5,3,0
'X1',0.5,0.5,1,1,2,2,2,2,2,2,74,75,0,1,2,1,2,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,1,0,0.75,0.3536,1,0.5,0,0.4995,0,0.4,2,2.5,0
'X1',1,1,0,0,67,7,1,1,1,0,67,67,1,0,7,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,0,120,1,0,0,1,1,1,1,1,0.07881,2,0,0.375,0.1768,0.5,0.25,0,0.4995,0,0.5714,1.25,1.75,0
'X1',0.2333,0.2333,1,1,2,2,4,8,7,14,67,69,0.8,0.2,7,3,3,2,2.586,5,2,0.4138,0.3333,0.3103,0.1379,0.1379,0.5517,0.06897,0.1379,0,0.1034,0,0,0,0,0,0.06667,0.52,2.778,7.778,4.364,120,60,2,0.1756,0.1603,1.095,0.3359,5,10,7,0.4286,0.02754,3.75,0.1179,0.2417,0.08644,0.5,0.125,0,0.2409,0.08795,0.1212,7.75,8.25,0
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0
'X1',0.6667,0.6667,0.5,0.5,2,2,2,2,2,2,72,72,0.6667,0.3333,0,1,2,0,1,2,2,0.5,1,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,80,1.333,0.5,0.5,1,1,2,2,2,0.5,0.05555,1.5,0,0.4167,0.2887,0.75,0.25,0,0.4995,0.3536,0.4444,1.75,2.25,0
'X1',0.3333,0.3333,1,1,1,2,3,3,3,3,71,72,0.6667,0.3333,0,1,3,1,1.5,2,1,0.5,1,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,1.5,0,0.3333,0.1443,0.5,0.25,0,0.2495,0,0.5,1.5,2,0
'X1',0.5,0.5,1,1,2,2,2,2,2,2,69,70,1,0,9,1,2,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60,1,0,0,1,1,1,1,1,0.07881,0.6667,0,1,0,1,1,0,0.9995,0,0.3333,2.5,3,0
'X1',0.5,0.5,1,1,2,2,2,2,2,2,67,68,1,0,7,1,2,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,0.6667,0,1,0.7071,1.5,0.5,0,0.4995,0,0.3333,2.5,3,0
'X1',1,1,0,0,71,11,1,1,1,0,71,71,1,0,11,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,48,1.2,0.5,0.5,1,1,2,2,2,0.5,0.05555,1,0,0.6667,0.5204,1.25,0.25,0,0.7495,0.7071,0.3333,2.5,3,0
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0
'X1',0.4286,0.4286,0.6667,0.6667,2,2,4,4,4,5,69,70,0.8571,0.1429,9,2,3,2,1.5,3,2,0.6667,0.25,0.1667,0.1667,0.1667,0.8333,0,0,0,0,0,0,0,0,0,0,0.2,2.5,3.5,2,60,120,2,0.2667,0.2667,1,0.5333,5,5,5,0.4,0.03636,2.333,0,0.3571,0.1336,0.5,0.25,0,0.3328,0.1291,0.2857,3,3.5,0
'X1',1,1,0,0,69,9,1,1,1,0,69,69,1,0,9,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,0,120,1,0,0,1,1,1,1,1,0.07881,1,0,0.5,0,0.5,0.5,0,0.4995,0,0.5,1.5,2,0
'X1',0.2093,0.2326,0.7778,0.75,3,3,3,14,11,21,67,69,0.7791,0.2209,7,2,2,2,2.224,4,2,0.3647,0.5806,0.4588,0.2118,0.1294,0.4941,0.1882,0.03529,0,0.05882,0.01176,0,0,0,0.7778,0.02326,0.4776,2.233,5.9,4.682,120,60,2,0.2137,0.1935,1.104,0.4073,5,9,5,0.6,0.03245,2.529,0.419,0.3924,0.2213,1,0.125,0,0.3936,0.222,0.02878,34.25,34.75,0
'X1',0.3,0.3,0.6667,0.6667,1,11,6,6,6,9,71,71,0.7,0.3,11,6,3,2,2.111,4,1,0.5556,0.4,0.2222,0,0.2222,0.7778,0.2222,0,0,0,0,0,0,0,1,0,0.4444,4.5,8,3.75,60,120,2,0.28,0.28,1,0.56,5,5,5,0.4,0.03703,2,1.768,0.45,0.2297,1,0.25,0,0.3884,0.1318,0.1818,5,5.5,0
'X1',0.5,0.5,1,1,5,7,2,2,2,5,69,71,0.5,0.5,2,2,0,5,5,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0.375,0.1768,0.5,0.25,0,0.2495,0,0.5714,1.25,1.75,0
'X1',0.2475,0.2475,0.6531,0.8776,5,5,5,9,7,14,74,74,0.3687,0.6313,2,3,2,2,2.107,3,1,0.3706,0.5753,0.3401,0.1929,0.2132,0.5838,0.08629,0.07614,0,0.04569,0,0,0.01523,0,7.5,0.005051,0.4591,2.484,6.297,5.491,60,120,2,0.2292,0.2292,1,0.4583,5,5,5,0.4,0.03461,2.64,0.9811,0.375,0.1716,1,0.1665,0,0.3739,0.1718,0.0133,55.08,75.25,0
