"","id","Prevalence_of_Most_Common_Pitch","Prevalence_of_Most_Common_Pitch_Class","Relative_Prevalence_of_Top_Pitches","Relative_Prevalence_of_Top_Pitch_Classes","Interval_Between_Most_Prevalent_Pitches","Interval_Between_Most_Prevalent_Pitch_Classes","Number_of_Common_Pitches","Pitch_Variety","Pitch_Class_Variety","Range","Most_Common_Pitch","Mean_Pitch","Importance_of_Middle_Register","Importance_of_High_Register","Most_Common_Pitch_Class","Dominant_Spread","Strong_Tonal_Centres","Most_Common_Melodic_Interval","Mean_Melodic_Interval","Number_of_Common_Melodic_Intervals","Distance_Between_Most_Prevalent_Melodic_Intervals","Prevalence_of_Most_Common_Melodic_Interval","Relative_Prevalence_of_Most_Common_Melodic_Intervals","Amount_of_Arpeggiation","Repeated_Notes","Chromatic_Motion","Stepwise_Motion","Melodic_Thirds","Melodic_Perfect_Fourths","Melodic_Tritones","Melodic_Perfect_Fifths","Melodic_Sixths","Melodic_Sevenths","Melodic_Octaves","Minor_Major_Melodic_Third_Ratio","Melodic_Embellishments","Direction_of_Melodic_Motion","Average_Length_of_Melodic_Arcs","Average_Interval_Spanned_by_Melodic_Arcs","Melodic_Pitch_Variety","Strongest_Rhythmic_Pulse","Second_Strongest_Rhythmic_Pulse","Harmonicity_of_Two_Strongest_Rhythmic_Pulses","Strength_of_Strongest_Rhythmic_Pulse","Strength_of_Second_Strongest_Rhythmic_Pulse","Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses","Combined_Strength_of_Two_Strongest_Rhythmic_Pulses","Number_of_Strong_Rhythmic_Pulses","Number_of_Moderate_Rhythmic_Pulses","Number_of_Relatively_Strong_Rhythmic_Pulses","Polyrhythms","Rhythmic_Variability","Note_Density","Note_Density_Variability","Average_Note_Duration","Variability_of_Note_Durations","Maximum_Note_Duration","Minimum_Note_Duration","Average_Time_Between_Attacks","Variability_of_Time_Between_Attacks","Complete_Rests","Longest_Complete_Rest","Duration"
"4099","3",0.5,0.5,1,1,2,2,2,2,2,2,74,75,0,1,2,1,2,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0.1875,0.08839,0.25,0.125,0.1245,0,0.7273,0.8745,1.375
"4100","3",0.5,0.5,1,1,3,3,2,2,2,3,64,65,1,0,4,1,2,3,3,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,1,0,0.75,0.3536,1,0.5,0.4995,0,0.4,2,2.5
"4101","3",0.5,0.5,0.5,0.5,8,5,3,3,3,8,79,75,0.25,0.75,7,2,2,0,2.667,3,3,0.3333,1,0.6667,0.3333,0,0,0.3333,0.3333,0,0,0,0,0,0,0,1,0,0,1,80,120,1.5,0.396,0.396,1,0.7919,3,3,3,0.3333,0.04682,2,0,0.375,0.1443,0.5,0.25,0.4162,0.1443,0.4,2,2.5
"4102","3",0.5,0.5,0.5,0.5,3,5,3,3,3,8,62,62,1,0,2,2,2,3,3.667,2,2,0.6667,0.5,0.6667,0,0,0,0.6667,0.3333,0,0,0,0,0,0,0,0.6667,3,3,2,80,120,1.5,0.4995,0.2688,1.858,0.7683,3,3,3,0.3333,0.04804,2,0,0.375,0.1443,0.5,0.25,0.3328,0.1443,0.4,2,2.5
"4103","3",0.3333,0.3333,0.5,0.5,2,9,5,5,5,9,69,71,0.6667,0.3333,9,5,1,2,3.2,3,1,0.6,0.3333,0.4,0,0,0.6,0.2,0,0,0.2,0,0,0,0,0,0.2,5,7,4,120,80,1.5,0.3455,0.2717,1.272,0.6172,4,5,4,0.75,0.0388,2,0,0.4583,0.4005,1.25,0.25,0.2995,0.1118,0.2667,3.25,3.75
"4104","3",0.3333,0.3333,0.5,0.5,7,4,5,5,5,7,76,73,0.5,0.5,4,4,2,2,1.4,3,2,0.6,0.3333,0.2,0.2,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,120,80,1.5,0.285,0.1866,1.527,0.4716,4,7,5,0.4,0.03256,3,0,0.25,0.07906,0.375,0.125,0.2495,0.08839,0.4,2,2.5
"4105","3",0.5,0.5,0.5,0.5,3,2,3,3,3,3,74,72,0.5,0.5,2,1,3,0,1,3,1,0.3333,1,0.3333,0.3333,0.3333,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,1,160,120,1.333,0.4957,0.2565,1.933,0.7522,3,3,3,0.6667,0.04787,2,0,0.25,0.1021,0.375,0.125,0.2495,0.125,0.5,1.5,2
"4106","3",0.5,0.5,1,1,7,5,2,2,2,7,67,70,0.5,0.5,2,2,0,7,7,1,7,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0.1875,0.08839,0.25,0.125,0.1245,0,0.7273,0.8745,1.375
"4107","3",0.6667,0.6667,0.5,0.5,5,5,2,2,2,5,62,63,1,0,2,2,1,0,2.5,2,5,0.5,1,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,1,120,0,120,1,0,0,1,1,1,1,1,0.07881,3,0,0.25,0,0.25,0.25,0.2495,0,0.5714,1.25,1.75
"4108","3",0.6667,0.6667,0.5,0.5,2,2,2,2,2,2,71,70,1,0,11,1,2,2,1.2,2,2,0.6,0.6667,0.4,0.4,0,0.6,0,0,0,0,0,0,0,0,0,0.6667,1.5,2,1.75,120,60,2,0.4207,0.3268,1.287,0.7475,3,3,3,1,0.04619,1.5,0,0.5,0,0.5,0.5,0.4995,0,0.25,3.5,4
"4109","3",0.3333,0.3333,1,1,4,5,3,3,3,7,67,70,0.6667,0.3333,2,2,1,3,3.5,2,1,0.5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,120,80,1.5,0.5044,0.4956,1.018,1,2,2,2,0.5,0.05556,1.5,0,0.4167,0.1443,0.5,0.25,0.3745,0.1768,0.4444,1.75,2.25
"4110","3",0.5,0.5,1,1,2,2,2,2,2,2,72,73,0.5,0.5,0,1,2,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,1,0,0.75,0.3536,1,0.5,0.4995,0,0.4,2,2.5
"4111","3",0.4,0.4,0.5,1,7,5,4,4,3,12,62,61,1,0,2,2,1,3,4.75,4,1,0.25,1,0.75,0,0,0,0.5,0.25,0,0.25,0,0,0,1,0,0.75,4,7,3,120,80,1.5,0.5148,0.3329,1.546,0.8477,3,3,2,0.5,0.04955,2.5,0,0.25,0,0.25,0.25,0.2495,0,0.4444,1.75,2.25
"4112","3",0.5,0.5,0.5,0.5,3,2,3,3,3,3,74,72,0.5,0.5,2,1,3,0,1,3,1,0.3333,1,0.3333,0.3333,0.3333,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,1,120,60,2,0.5193,0.2461,2.11,0.7654,3,3,3,0.6667,0.04868,2,0,0.375,0.1443,0.5,0.25,0.3328,0.1443,0.4,2,2.5
"4113","3",0.4,0.4,1,1,2,2,3,3,3,4,74,74,0.2,0.8,2,1,3,2,1.5,2,2,0.75,0.3333,0.25,0.25,0,0.75,0,0,0,0,0,0,0,0,0,0.6667,3,4,2,120,80,1.5,0.4863,0.3395,1.432,0.8258,3,3,3,0.6667,0.04847,1.667,0,0.4,0.3354,1,0.25,0.2495,0,0.3333,2.5,3
"4114","3",0.5,0.5,0.5,0.5,3,7,3,3,3,8,67,67,1,0,7,2,2,3,3.667,2,2,0.6667,0.5,0.6667,0,0,0,0.6667,0.3333,0,0,0,0,0,0,0,0.6667,3,3,2,80,60,1.333,0.5012,0.2496,2.008,0.7508,3,3,3,0.3333,0.04805,2,0,0.375,0.1443,0.5,0.25,0.3328,0.1443,0.4,2,2.5
"4115","3",0.3333,0.3333,0.5,0.5,7,2,5,5,5,9,74,71,0.5,0.5,2,5,1,2,2.2,2,1,0.8,0.25,0.2,0,0,0.8,0.2,0,0,0,0,0,0,0,0,0.2,5,2,2,120,80,1.5,0.3494,0.2839,1.231,0.6333,3,5,3,0.6667,0.03916,2,0,0.4583,0.4005,1.25,0.25,0.2995,0.1118,0.2667,3.25,3.75
"4116","3",0.4444,0.4444,0.5,0.5,2,2,4,4,4,9,69,68,1,0,9,3,3,2,2.375,4,2,0.625,0.2,0.25,0.125,0,0.625,0.125,0.125,0,0,0,0,0,0,0,0.5714,2.333,5.667,3,60,120,2,0.3235,0.3146,1.028,0.6381,4,5,4,0.5,0.03965,1.286,0.7071,0.6667,0.375,1.5,0.25,0.562,0.2216,0.1429,6.5,7
"4117","3",0.5,0.5,0.5,0.5,5,2,3,3,3,7,74,73,0.25,0.75,2,3,1,2,3,2,3,0.6667,0.5,0,0,0,0.6667,0,0.3333,0,0,0,0,0,0,0,0.3333,3,2,2,80,60,1.333,0.3873,0.2165,1.788,0.6038,4,4,4,0.5,0.04101,1.333,0,0.5,0.2041,0.75,0.25,0.4995,0.25,0.3333,2.5,3
"4118","3",0.3333,0.3333,1,1,2,2,3,3,3,4,74,76,0,1,2,1,3,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,1,0,0.8333,1.01,2,0.25,0.2495,0,0.2857,3,3.5
"4119","3",0.6667,0.6667,0.5,0.5,2,2,2,2,2,2,74,74,0,1,2,1,2,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,2,2,2,80,120,1.5,0.5077,0.4923,1.031,1,2,2,2,0.5,0.05556,1.5,0,0.4167,0.1443,0.5,0.25,0.3745,0.1768,0.4444,1.75,2.25
"4120","3",0.3333,0.3333,1,1,4,5,3,3,3,7,67,70,0.6667,0.3333,2,2,1,3,3.5,2,1,0.5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,80,40,2,0.6237,0.3763,1.657,1,2,2,2,1,0.05725,1,0,0.6667,0.1443,0.75,0.5,0.7495,0,0.3333,2.5,3
"4121","3",0.25,0.25,1,1,2,2,4,4,4,5,74,76,0,1,2,2,2,2,1.667,2,1,0.6667,0.5,0,0,0.3333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,120,60,2,0.4897,0.333,1.471,0.8227,3,3,3,1,0.04847,1.333,0,0.625,0.25,1,0.5,0.4995,0,0.2857,3,3.5
"4122","3",0.25,0.25,1,1,1,2,4,4,4,5,71,73,0.5,0.5,0,2,2,1,2.333,3,1,0.3333,1,0.3333,0,0.3333,0.6667,0.3333,0,0,0,0,0,0,0,0,0.3333,3,2,0,120,60,2,0.5134,0.2661,1.929,0.7795,3,3,3,0.6667,0.04853,2,0,0.3125,0.125,0.5,0.25,0.3328,0.1443,0.4444,1.75,2.25
"4123","3",0.25,0.25,1,1,1,1,4,4,4,5,66,68,1,0,6,2,2,2,1.667,2,1,0.6667,0.5,0,0,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,60,1.25,0.2745,0.2454,1.119,0.5199,4,4,4,0.25,0.0391,2,0,0.375,0.25,0.75,0.25,0.4162,0.2887,0.4,2,2.5
"4124","3",0.5,0.5,1,1,2,2,2,2,2,2,74,75,0,1,2,1,2,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,2,0,0.375,0.1768,0.5,0.25,0.4995,0,0.5714,1.25,1.75
"4125","3",0.5,0.5,1,1,2,2,2,2,2,2,74,75,0,1,2,1,2,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.625,0.5303,1,0.25,0.2495,0,0.4444,1.75,2.25
"4126","3",0.5,0.5,1,1,5,5,2,2,2,5,60,62,1,0,0,2,0,5,5,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,1,0,0.75,0.3536,1,0.5,0.4995,0,0.4,2,2.5
"4127","3",0.3333,0.3333,1,1,4,5,3,3,3,7,67,70,0.6667,0.3333,2,2,1,3,3.5,2,1,0.5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,120,60,2,0.6617,0.3383,1.956,1,2,2,2,1,0.05842,1.5,0,0.5833,0.1443,0.75,0.5,0.4995,0,0.3636,2.25,2.75
"4128","3",0.5,0.5,1,1,2,2,2,2,2,2,74,75,0,1,2,1,2,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,1,0,0.5,0,0.5,0.5,0.4995,0,0.5,1.5,2
"4129","3",0.5,0.5,1,1,2,2,2,2,2,2,64,65,1,0,4,1,2,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.625,0.5303,1,0.25,0.2495,0,0.4444,1.75,2.25
"4130","3",0.5,0.5,0.5,0.5,2,2,3,3,3,4,74,74,0.25,0.75,2,1,3,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6667,3,4,2,120,60,2,0.5023,0.3335,1.506,0.8359,3,3,3,1,0.04901,1.333,0,0.5,0,0.5,0.5,0.4995,0,0.3333,2.5,3
"4131","3",0.5,0.5,1,1,5,5,2,2,2,5,62,64,1,0,2,2,0,5,5,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,1,0,0.5,0,0.5,0.5,0.4995,0,0.5,1.5,2
"4132","3",0.6667,0.6667,0.5,0.5,3,9,2,2,2,3,71,72,0.6667,0.3333,11,1,2,3,3,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,2,3,2,120,69,1.739,0.351,0.3294,1.066,0.6804,3,3,3,0.3333,0.04525,1.5,0,0.3333,0.1909,0.5,0.125,0.437,0.08839,0.5,1.5,2
"4133","3",0.3333,0.3333,1,1,2,2,3,3,3,4,72,74,0.3333,0.6667,0,1,3,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,40,2,0.6582,0.3418,1.925,1,2,2,2,1,0.0583,1,0,0.9167,0.2887,1.25,0.75,0.7495,0,0.2667,3.25,3.75
"4134","3",0.5,0.5,0.5,0.5,2,2,3,3,3,4,69,69,1,0,9,1,3,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3333,3,2,2,120,60,2,0.4976,0.3334,1.492,0.8311,3,3,3,1,0.04881,1.333,0,0.625,0.25,1,0.5,0.4995,0,0.2857,3,3.5
"4135","3",0.6667,0.6667,0.5,0.5,5,5,2,2,2,5,62,63,1,0,2,2,1,0,2.5,2,5,0.5,1,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,1,120,0,120,1,0,0,1,1,1,1,1,0.07881,1.5,0,0.3333,0.1443,0.5,0.25,0.2495,0,0.5,1.5,2
"4136","3",0.25,0.25,1,1,3,2,5,5,5,7,71,72,0.5,0.5,2,4,2,0,1.714,5,2,0.2857,1,0.5714,0.2857,0.1429,0.4286,0.2857,0,0,0,0,0,0,1,0.25,0.6,5,7,2.667,120,40,3,0.2554,0.2031,1.257,0.4585,4,8,5,0.6,0.03218,2,0,0.375,0.1637,0.5,0.125,0.3567,0.1681,0.25,3.5,4
"4137","3",0.4,0.4,0.5,0.5,5,2,4,4,4,5,74,72,0.6,0.4,2,2,3,2,1.25,3,2,0.5,0.5,0.25,0.25,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,1,120,160,1.333,0.2926,0.2652,1.103,0.5578,5,5,5,0.4,0.03667,2.5,0,0.3,0.1425,0.5,0.125,0.2495,0.1021,0.4,2,2.5
"4138","3",0.5,0.5,1,1,2,2,2,2,2,2,69,70,1,0,9,1,2,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0.25,0,0.25,0.25,0.2495,0,0.6667,0.9995,1.5
"4139","3",0.25,0.25,1,1,3,3,4,4,4,7,64,67,1,0,4,3,1,2,2.333,2,1,0.6667,0.5,0.3333,0,0,0.6667,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,80,120,1.5,0.5006,0.2649,1.89,0.7655,3,3,3,0.3333,0.04806,2,0,0.375,0.1443,0.5,0.25,0.3328,0.1443,0.4,2,2.5
"4140","3",0.5,0.5,1,1,4,4,2,2,2,4,63,65,1,0,3,1,2,4,4,1,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,1,0,0.5,0,0.5,0.5,0.4995,0,0.5,1.5,2
"4141","3",0.2,0.2,1,1,2,2,5,5,5,7,67,70,0.8,0.2,0,4,1,2,3,3,1,0.5,0.5,0.25,0,0.25,0.75,0,0,0,0.25,0,0,0,0,0,0.25,4,7,0,80,120,1.5,0.2997,0.2697,1.112,0.5694,5,5,5,0.4,0.03697,1.667,0,0.45,0.2739,0.75,0.25,0.3745,0.25,0.3077,2.75,3.25
"4142","3",0.3333,0.3333,1,1,2,2,3,3,3,4,67,69,1,0,7,1,3,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120,60,2,0.6553,0.3447,1.901,1,2,2,2,1,0.0582,1,0,0.6667,0.2887,1,0.5,0.4995,0,0.3333,2.5,3
"4143","3",0.25,0.25,1,1,2,2,4,4,4,5,62,64,1,0,2,2,2,2,1.667,2,1,0.6667,0.5,0,0,0.3333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,40,2,0.4138,0.2163,1.913,0.6301,4,4,4,0.5,0.04185,2,0,0.4375,0.2394,0.75,0.25,0.4995,0.25,0.3636,2.25,2.75
"4144","3",0.25,0.375,1,0.6667,2,2,6,6,4,16,79,76,0.25,0.75,7,3,3,0,2.286,5,2,0.2857,1,0.5714,0.2857,0,0.2857,0.2857,0.1429,0,0,0,0,0,1,0,1,0,0,1,120,40,3,0.3595,0.3585,1.003,0.718,3,3,3,1,0.04549,1.333,0.1768,0.625,0.2315,1,0.5,0.6424,0.244,0.1667,5.5,6
"4145","3",0.3333,0.3333,1,1,5,7,4,4,4,7,69,70,0.6667,0.3333,2,3,1,2,2.4,4,2,0.4,0.5,0.4,0.2,0,0.4,0.2,0.2,0,0,0,0,0,0,0,0.25,4,5,2.5,120,80,1.5,0.3529,0.2757,1.28,0.6286,3,5,3,0.6667,0.03916,2,0,0.4583,0.4005,1.25,0.25,0.2995,0.1118,0.2667,3.25,3.75
