@relation groupnon
@attribute class {'X1','X2','X3','X4','X5'}
@attribute Prevalence_of_Most_Common_Pitch numeric
@attribute Prevalence_of_Most_Common_Pitch_Class numeric
@attribute Relative_Prevalence_of_Top_Pitches numeric
@attribute Relative_Prevalence_of_Top_Pitch_Classes numeric
@attribute Interval_Between_Most_Prevalent_Pitches numeric
@attribute Interval_Between_Most_Prevalent_Pitch_Classes numeric
@attribute Number_of_Common_Pitches numeric
@attribute Pitch_Variety numeric
@attribute Pitch_Class_Variety numeric
@attribute Range numeric
@attribute Most_Common_Pitch numeric
@attribute Mean_Pitch numeric
@attribute Importance_of_Middle_Register numeric
@attribute Importance_of_High_Register numeric
@attribute Most_Common_Pitch_Class numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Mean_Melodic_Interval numeric
@attribute Number_of_Common_Melodic_Intervals numeric
@attribute Distance_Between_Most_Prevalent_Melodic_Intervals numeric
@attribute Prevalence_of_Most_Common_Melodic_Interval numeric
@attribute Relative_Prevalence_of_Most_Common_Melodic_Intervals numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Melodic_Thirds numeric
@attribute Melodic_Perfect_Fourths numeric
@attribute Melodic_Tritones numeric
@attribute Melodic_Perfect_Fifths numeric
@attribute Melodic_Sixths numeric
@attribute Melodic_Sevenths numeric
@attribute Melodic_Octaves numeric
@attribute Minor_Major_Melodic_Third_Ratio numeric
@attribute Melodic_Embellishments numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Average_Length_of_Melodic_Arcs numeric
@attribute Average_Interval_Spanned_by_Melodic_Arcs numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Second_Strongest_Rhythmic_Pulse numeric
@attribute Harmonicity_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Strength_of_Strongest_Rhythmic_Pulse numeric
@attribute Strength_of_Second_Strongest_Rhythmic_Pulse numeric
@attribute Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Combined_Strength_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Number_of_Strong_Rhythmic_Pulses numeric
@attribute Number_of_Moderate_Rhythmic_Pulses numeric
@attribute Number_of_Relatively_Strong_Rhythmic_Pulses numeric
@attribute Rhythmic_Looseness numeric
@attribute Polyrhythms numeric
@attribute Rhythmic_Variability numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Average_Note_Duration numeric
@attribute Variability_of_Note_Durations numeric
@attribute Maximum_Note_Duration numeric
@attribute Minimum_Note_Duration numeric
@attribute Average_Time_Between_Attacks numeric
@attribute Variability_of_Time_Between_Attacks numeric
@attribute Complete_Rests numeric
@attribute Longest_Complete_Rest numeric
@attribute Duration numeric
@data
'X1',0.5,0.5,0.5,0.5,2,2,3,3,3,4,69,69,1,0,9,1,3,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6667,3,2,2,120,80,1.5,0.6719,0.3281,2.048,1,2,2,2,0,0.5,0.05878,2,0,0.3125,0.125,0.5,0.25,0.2495,0,0.4444,1.75,2.25
'X1',0.6667,0.6667,0.5,0.5,2,2,2,2,2,2,74,74,0,1,2,1,2,0,1,2,2,0.5,1,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,160,0,160,1,0,0,1,1,1,1,0,1,0.07881,3,0,0.2083,0.07217,0.25,0.125,0.187,0.08839,0.6154,1.125,1.625
'X1',0.4286,0.4286,0.6667,0.6667,2,2,4,4,4,5,71,70,1,0,11,2,2,2,1.5,3,2,0.6667,0.25,0.1667,0.1667,0.1667,0.8333,0,0,0,0,0,0,0,0,0,0.6,5,4,2.333,120,80,1.5,0.2768,0.2642,1.048,0.541,5,5,5,0,0.6,0.03658,2.333,0,0.2857,0.09449,0.5,0.25,0.2912,0.1021,0.3333,2.5,3
'X1',0.2857,0.2857,1,1,3,3,5,5,5,7,66,67,1,0,6,4,3,2,2.5,4,1,0.5,0.3333,0.1667,0,0.1667,0.6667,0.1667,0.1667,0,0,0,0,0,0,0,0.1667,3,6,3.5,80,120,1.5,0.2689,0.2612,1.029,0.5301,5,5,5,0,0.4,0.03635,2.333,0,0.3214,0.122,0.5,0.25,0.2912,0.1021,0.3077,2.75,3.25
'X1',0.25,0.25,1,1,2,2,4,4,4,7,64,67,1,0,4,4,0,2,3,2,3,0.6667,0.5,0,0,0,0.6667,0,0.3333,0,0,0,0,0,0,0,0.6667,3,7,0,120,60,2,0.4928,0.3329,1.48,0.8257,3,3,3,0,1,0.0486,1.333,0,0.5625,0.125,0.75,0.5,0.4995,0,0.3077,2.75,3.25
'X1',0.75,0.75,0.3333,0.3333,3,9,2,2,2,3,71,71,0.75,0.25,11,1,2,0,1,2,3,0.6667,0.5,1,0.6667,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,1,120,40,3,0.6359,0.3641,1.746,1,2,2,2,0,1,0.05759,1,0,0.75,0.5,1.5,0.5,0.8328,0.5774,0.25,3.5,4
'X1',0.5,0.5,0.5,0.5,3,2,3,3,3,5,74,73,0.25,0.75,2,2,1,2,2.333,2,1,0.6667,0.5,0.3333,0,0,0.6667,0.3333,0,0,0,0,0,0,0,0,0.3333,3,2,2,120,80,1.5,0.6793,0.3207,2.119,1,2,2,2,0,0.5,0.05906,2,0,0.3125,0.125,0.5,0.25,0.2495,0,0.4444,1.75,2.25
'X1',0.4,0.4,0.5,0.5,2,2,5,5,5,7,69,68,1,0,9,4,3,2,2.556,4,1,0.6667,0.1667,0.2222,0,0.1111,0.7778,0.1111,0,0,0.1111,0,0,0,0,0,0.5556,2.25,4,3,120,60,2,0.3399,0.2965,1.146,0.6364,3,5,3,0,1,0.04086,2,1.768,0.425,0.1208,0.5,0.25,0.444,0.1102,0.1905,4.75,5.25
'X1',0.2857,0.2857,1,1,3,3,5,5,5,7,66,67,1,0,6,4,3,2,2.5,4,1,0.5,0.3333,0.1667,0,0.1667,0.6667,0.1667,0.1667,0,0,0,0,0,0,0,0.5,3,4,3.5,60,120,2,0.2673,0.2391,1.118,0.5065,5,5,5,0,0.4,0.03569,1.75,0,0.4643,0.2673,1,0.25,0.4578,0.2923,0.2353,3.75,4.25
'X1',0.6667,0.6667,0.5,0.5,2,2,2,2,2,2,71,70,1,0,11,1,2,0,1,2,2,0.5,1,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0.3333,0,0,0,1,120,160,1.333,0.5234,0.4766,1.098,1,2,2,2,0,0.5,0.05562,1.5,0,0.3333,0.1909,0.5,0.125,0.2495,0.1768,0.5,1.5,2
'X1',0.5,0.5,0.5,0.5,1,2,3,3,3,3,72,72,0.75,0.25,0,1,3,1,1.333,2,1,0.6667,0.5,0,0,0.6667,1,0,0,0,0,0,0,0,0,0,0.3333,3,3,2,120,96,1.25,0.3725,0.3311,1.125,0.7035,3,3,3,0,0.3333,0.04542,4,0,0.2188,0.0625,0.25,0.125,0.2078,0.07217,0.5333,1.375,1.875
'X1',0.6,0.6,0.3333,0.3333,2,9,3,3,3,5,71,71,0.8,0.2,11,2,1,2,1.75,3,2,0.5,0.5,0.5,0.25,0,0.5,0.25,0,0,0,0,0,0,0,0,0.6667,3,2,1.5,120,80,1.5,0.4891,0.3314,1.476,0.8205,3,3,3,0,0.6667,0.04842,2.5,0,0.3,0.1118,0.5,0.25,0.2495,0,0.4,2,2.5
'X1',0.6667,0.6667,0.5,0.5,5,5,2,2,2,5,74,75,0,1,2,2,1,0,2.5,2,5,0.5,1,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,1,60,48,1.25,0.5323,0.4677,1.138,1,2,2,2,0,0.5,0.05567,1.5,0,0.3333,0.1443,0.5,0.25,0.6245,0.5303,0.6,0.9995,2.5
'X1',0.2857,0.2857,1,1,2,2,5,5,5,10,74,74,0.2857,0.7143,2,5,2,2,2.833,4,3,0.3333,1,0.3333,0.1667,0,0.3333,0.1667,0.3333,0,0,0,0,0,0,0,0.2,2.5,3.5,1.5,40,60,1.5,0.3636,0.2646,1.374,0.6282,3,5,3,0,0.6667,0.0394,1.4,1.237,0.6429,0.2835,1,0.25,0.6662,0.3028,0.1818,5,5.5
'X1',0.8,0.8,0.25,0.25,1,1,2,2,2,1,67,66,1,0,7,1,2,0,0.5,2,1,0.5,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,2,1,1.333,120,80,1.5,0.4137,0.2737,1.512,0.6874,4,4,4,0,0.5,0.04249,2.5,0,0.3,0.1118,0.5,0.25,0.312,0.125,0.4,2,2.5
'X1',0.4,0.4,0.5,1,7,5,4,4,3,12,74,73,0.4,0.6,2,2,1,3,4.75,4,1,0.25,1,0.75,0,0,0,0.5,0.25,0,0.25,0,0,0,1,0,0.75,4,7,3,120,80,1.5,0.4891,0.3426,1.428,0.8317,3,3,3,0,0.6667,0.04865,2.5,0,0.25,0,0.25,0.25,0.2495,0,0.4444,1.75,2.25
'X1',0.6667,0.6667,0.5,0.5,1,1,2,2,2,1,70,69,1,0,10,1,2,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,2,1,2,60,80,1.333,0.5124,0.4876,1.051,1,2,2,2,0,0.5,0.05557,1.5,0,0.4583,0.2602,0.75,0.25,0.4995,0.3536,0.4211,1.875,2.375
'X1',0.5,0.5,0.5,0.5,3,2,3,3,3,3,74,72,0.5,0.5,2,1,3,0,1.667,3,2,0.3333,1,0.6667,0.3333,0,0.3333,0.3333,0,0,0,0,0,0,0,0,0.5,2,2,1,120,60,2,0.4925,0.2594,1.899,0.7519,3,3,3,0,0.6667,0.04777,2,0,0.375,0.1443,0.5,0.25,0.3328,0.1443,0.4,2,2.5
'X1',0.5,0.5,0.5,0.5,2,5,3,3,3,7,67,69,0.75,0.25,7,3,1,0,3,3,2,0.3333,1,0.6667,0.3333,0,0.3333,0,0,0,0.3333,0,0,0,0,0.25,0.5,2,7,1,120,69,1.739,0.3959,0.2084,1.9,0.6043,4,4,4,0,0.5,0.04126,2,0,0.375,0.1768,0.5,0.125,0.3328,0.1909,0.4,2,2.5
'X1',0.3333,0.3333,0.3333,0.3333,5,8,7,7,7,10,69,69,0.7778,0.2222,9,7,1,2,3.625,6,3,0.25,1,0.375,0.125,0,0.25,0.25,0.25,0,0,0.125,0,0,1,0,0.5714,1.75,6.5,2,120,60,2,0.2299,0.2288,1.005,0.4588,5,5,5,0,0.6,0.03506,2.25,0,0.3333,0.125,0.5,0.25,0.3433,0.1294,0.25,3.5,4
'X1',0.3333,0.3333,1,1,7,7,3,3,3,9,62,67,1,0,2,2,1,7,8,2,2,0.5,1,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,2,7,0,60,40,1.5,0.3404,0.3298,1.032,0.6702,3,3,3,0,0.6667,0.04522,1,0,0.6667,0.2887,1,0.5,0.7495,0.3536,0.3333,2.5,3
'X1',0.2857,0.2857,1,1,2,2,4,4,4,5,74,76,0,1,2,2,3,0,1,3,1,0.3333,1,0.3333,0.3333,0.3333,0.6667,0,0,0,0,0,0,0,0,0,0.25,4,1,1.333,80,120,1.5,0.2698,0.2083,1.295,0.4781,5,5,5,0,0.4,0.03567,2.333,0,0.3571,0.1967,0.75,0.25,0.3745,0.2092,0.2857,3,3.5
'X1',0.5714,0.5714,0.5,0.5,7,5,3,3,3,7,67,69,0.7143,0.2857,7,3,1,0,1.833,3,2,0.5,0.6667,0.6667,0.5,0,0.3333,0,0,0,0.1667,0,0,0,0,0,0.3333,1.5,4.5,1.25,120,60,2,0.2896,0.2651,1.093,0.5547,5,5,5,0,0.6,0.03673,2.333,0,0.3214,0.122,0.5,0.25,0.3328,0.1291,0.3077,2.75,3.25
'X1',0.6,0.6,0.3333,0.3333,3,2,3,3,3,3,74,73,0.4,0.6,2,1,3,0,0.75,3,1,0.5,0.5,0.5,0.5,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,120,80,1.5,0.2863,0.2858,1.001,0.5721,5,5,5,0,0.6,0.03696,2.5,0,0.35,0.2236,0.75,0.25,0.3745,0.25,0.3636,2.25,2.75
'X1',0.4,0.4,0.5,0.5,5,7,4,4,4,5,72,70,1,0,0,2,3,0,1.75,4,1,0.25,1,0.5,0.25,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0.6667,3,2,1,120,96,1.25,0.3326,0.1831,1.817,0.5156,5,5,5,0,0.2,0.03675,2.5,0,0.2,0.06847,0.25,0.125,0.2183,0.0625,0.5,1.5,2
'X1',0.4,0.4,1,1,3,9,3,3,3,8,71,73,0.4,0.6,2,2,2,3,2.75,3,3,0.5,0.5,0.75,0.25,0,0,0.5,0.25,0,0,0,0,0,0,0,0.6667,3,3,2,60,80,1.333,0.2095,0.2027,1.033,0.4122,5,5,5,0,0.4,0.03482,1.667,0,0.5,0.3062,1,0.25,0.4995,0.3536,0.2857,3,3.5
'X1',0.4,0.4,1,1,2,2,3,3,3,3,69,70,1,0,9,1,3,2,2,3,1,0.5,0.5,0.25,0,0.25,0.75,0.25,0,0,0,0,0,0,0,0,0.25,2,2.5,3,80,120,1.5,0.3147,0.1898,1.658,0.5045,5,5,5,0,0.4,0.03631,1.667,0,0.45,0.2739,0.75,0.25,0.4995,0.2887,0.3077,2.75,3.25
'X1',0.5,0.5,0.5,0.5,4,4,3,3,3,7,62,64,1,0,2,2,2,0,2.333,3,3,0.3333,1,1,0.3333,0,0,0.6667,0,0,0,0,0,0,1,0,1,0,0,1,120,60,2,0.5108,0.3332,1.533,0.844,3,3,3,0,1,0.04938,1.333,0,0.5,0,0.5,0.5,0.4995,0,0.3333,2.5,3
'X1',0.5,0.5,1,1,2,2,2,2,2,2,64,65,1,0,4,1,2,0,0.6667,2,2,0.6667,0.5,0.6667,0.6667,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,1,48,60,1.25,0.2754,0.256,1.076,0.5314,4,4,4,0,0.25,0.03913,2,0,0.4375,0.375,1,0.25,0.4995,0.433,0.3636,2.25,2.75
