@relation groupran
@attribute class {'X1','X2','X3','X4','X5'}
@attribute Prevalence_of_Most_Common_Pitch numeric
@attribute Prevalence_of_Most_Common_Pitch_Class numeric
@attribute Relative_Prevalence_of_Top_Pitches numeric
@attribute Relative_Prevalence_of_Top_Pitch_Classes numeric
@attribute Interval_Between_Most_Prevalent_Pitches numeric
@attribute Interval_Between_Most_Prevalent_Pitch_Classes numeric
@attribute Number_of_Common_Pitches numeric
@attribute Pitch_Variety numeric
@attribute Pitch_Class_Variety numeric
@attribute Range numeric
@attribute Most_Common_Pitch numeric
@attribute Mean_Pitch numeric
@attribute Importance_of_Middle_Register numeric
@attribute Importance_of_High_Register numeric
@attribute Most_Common_Pitch_Class numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Mean_Melodic_Interval numeric
@attribute Number_of_Common_Melodic_Intervals numeric
@attribute Distance_Between_Most_Prevalent_Melodic_Intervals numeric
@attribute Prevalence_of_Most_Common_Melodic_Interval numeric
@attribute Relative_Prevalence_of_Most_Common_Melodic_Intervals numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Melodic_Thirds numeric
@attribute Melodic_Perfect_Fourths numeric
@attribute Melodic_Tritones numeric
@attribute Melodic_Perfect_Fifths numeric
@attribute Melodic_Sixths numeric
@attribute Melodic_Sevenths numeric
@attribute Melodic_Octaves numeric
@attribute Melodic_Large_Intervals numeric
@attribute Minor_Major_Melodic_Third_Ratio numeric
@attribute Melodic_Embellishments numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Average_Length_of_Melodic_Arcs numeric
@attribute Average_Interval_Spanned_by_Melodic_Arcs numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Second_Strongest_Rhythmic_Pulse numeric
@attribute Harmonicity_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Strength_of_Strongest_Rhythmic_Pulse numeric
@attribute Strength_of_Second_Strongest_Rhythmic_Pulse numeric
@attribute Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Combined_Strength_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Number_of_Strong_Rhythmic_Pulses numeric
@attribute Number_of_Moderate_Rhythmic_Pulses numeric
@attribute Number_of_Relatively_Strong_Rhythmic_Pulses numeric
@attribute Rhythmic_Looseness numeric
@attribute Polyrhythms numeric
@attribute Rhythmic_Variability numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Average_Note_Duration numeric
@attribute Variability_of_Note_Durations numeric
@attribute Maximum_Note_Duration numeric
@attribute Minimum_Note_Duration numeric
@attribute Amount_of_Staccato numeric
@attribute Average_Time_Between_Attacks numeric
@attribute Variability_of_Time_Between_Attacks numeric
@attribute Complete_Rests numeric
@attribute Longest_Complete_Rest numeric
@attribute Duration numeric
@data
'X1',1,1,0,0,69,9,1,1,1,0,69,69,1,0,9,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,60,1.333,0.5,0.25,2,0.75,3,3,3,0,0.3333,0.04801,2,0,0.3125,0.125,0.5,0.25,0,0.3328,0.1443,0.4444,1.75,2.25
'X1',0.3333,0.3333,1,1,2,2,3,3,3,4,67,69,1,0,7,1,3,2,3,2,2,0.5,1,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,2,4,0,60,80,1.333,0.5,0.5,1,1,2,2,2,0,0.5,0.05555,1.5,0,0.4167,0.2887,0.75,0.25,0,0.4995,0.3536,0.4444,1.75,2.25
'X1',0.4286,0.4286,0.3333,0.3333,5,4,5,5,5,10,74,74,0.2857,0.7143,2,3,1,0,3,4,5,0.3333,1,0.5,0.3333,0.1667,0.1667,0,0.3333,0,0.1667,0,0,0,0,0,0,0.5,4,10,1,120,40,3,0.4,0.2,2,0.6,3,5,3,0,1,0.03983,1.75,0,0.4286,0.2782,1,0.25,0,0.4578,0.2923,0.25,3.5,4
'X1',0.4286,0.4286,0.6667,0.6667,7,7,4,4,4,10,71,68,0.8571,0.1429,11,3,2,7,4.5,5,7,0.3333,0.5,0.6667,0.1667,0,0.1667,0.1667,0,0,0.3333,0.1667,0,0,0,0,0,0.6,1.667,8,2.333,96,120,1.25,0.2,0.2,1,0.4,5,8,8,0,0.25,0.02963,2.333,0,0.3214,0.189,0.5,0.125,0,0.2912,0.1882,0.3077,2.75,3.25
'X1',0.25,0.25,1,1,5,5,4,4,4,8,73,77,0,1,1,2,2,1,2.667,3,1,0.3333,1,0,0,0.3333,0.6667,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,120,80,1.5,0.6667,0.3333,2,1,2,2,2,0,0.5,0.0586,2,0,0.25,0,0.25,0.25,0,0.2495,0,0.5,1.5,2
'X1',0.25,0.25,1,1,5,2,4,4,4,10,62,67,1,0,0,4,0,2,6.333,3,5,0.3333,1,0.6667,0,0,0.3333,0,0,0,0.3333,0,0.3333,0,0,0,0,0.3333,1.5,8.5,0,120,80,1.5,0.6667,0.3333,2,1,2,2,2,0,0.5,0.0586,2,0,0.25,0,0.25,0.25,0,0.2495,0,0.5,1.5,2
'X1',0.5,0.5,0.5,0.5,5,9,3,3,3,8,71,70,0.75,0.25,11,2,2,3,3.667,2,2,0.6667,0.5,0.6667,0,0,0,0.6667,0.3333,0,0,0,0,0,0,0,0,0.6667,3,8,2,120,48,2.5,0.4,0.2,2,0.6,4,4,4,0,0.5,0.04137,2,0,0.4375,0.125,0.5,0.25,0,0.4162,0.1443,0.3636,2.25,2.75
'X1',0.2,0.4,1,0.5,7,7,6,6,5,12,62,69,0.8,0.2,2,4,2,2,5.111,5,5,0.4444,0.5,0.4444,0,0,0.4444,0.1111,0,0,0.2222,0.1111,0,0.1111,0,0,0,0.5556,1.8,7.4,3.75,120,60,2,0.3,0.25,1.2,0.55,4,5,5,0,0.6,0.03698,1.667,0.1768,0.5,0.2041,1,0.25,0,0.4995,0.2165,0.1667,5.5,6
'X1',0.3333,0.3333,0.5,1,9,9,5,5,4,12,71,68,0.8333,0.1667,2,2,2,3,4,4,1,0.4,0.5,0.6,0,0,0.2,0.4,0.2,0,0.2,0,0,0,0,0,0,0.6,5,12,2,48,80,1.667,0.3,0.3,1,0.6,3,4,4,0,0.25,0.04137,2,0,0.375,0.1369,0.5,0.25,0,0.4995,0.1768,0.4,2,3.75
'X1',0.3333,0.3333,1,1,2,7,3,3,3,5,69,71,0.6667,0.3333,2,2,1,3,4,2,2,0.5,1,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,2,5,0,120,160,1.333,0.5,0.5,1,1,2,2,2,0,0.5,0.05555,3,0,0.25,0.125,0.375,0.125,0,0.2495,0.1768,0.5714,1.25,1.75
'X1',0.5,0.5,1,1,2,2,2,2,2,2,69,70,1,0,9,1,2,2,1.333,2,2,0.6667,0.5,0.3333,0.3333,0,0.6667,0,0,0,0,0,0,0,0,0,0,0.5,2,2,2,120,60,2,0.5,0.3333,1.5,0.8333,3,3,3,0,1,0.04891,1.333,0,0.5,0,0.5,0.5,0,0.4995,0,0.3333,2.5,3
'X1',0.2,0.4,1,0.5,7,2,5,5,4,12,62,69,0.8,0.2,2,2,3,2,5.25,4,1,0.25,1,0.5,0,0,0.25,0.25,0,0,0.25,0.25,0,0,0,0,0,0.75,4,9,0,120,60,2,0.375,0.25,1.5,0.625,5,5,5,0,0.6,0.03903,2.5,0,0.35,0.1369,0.5,0.25,0,0.3745,0.1443,0.3636,2.25,2.75
'X1',0.5,0.5,0.5,0.5,5,6,3,3,3,11,72,72,0.75,0.25,0,2,2,0,3.667,3,5,0.3333,1,0.3333,0.3333,0,0,0,0.3333,0.3333,0,0,0,0,0,0,0,1,0,0,1,40,48,1.2,0.3333,0.3333,1,0.6667,3,3,3,0,0.6667,0.04522,2,0,0.4688,0.5242,1.25,0.125,0,0.5828,0.5774,0.3478,2.375,2.875
'X1',0.2857,0.2857,1,1,3,2,4,4,4,9,71,72,0.4286,0.5714,2,2,1,5,4,5,5,0.3333,0.5,0.6667,0.1667,0,0,0.3333,0.3333,0,0.1667,0,0,0,0,1,0,0.6,1.667,5,3.667,120,44,2.727,0.2143,0.1429,1.5,0.3571,3,10,10,0,0.3,0.02695,2.333,0,0.3036,0.1417,0.5,0.125,0,0.312,0.1531,0.32,2.625,3.125
'X1',0.25,0.25,1,1,5,4,4,4,4,8,64,69,1,0,0,3,1,3,6,3,4,0.3333,1,0.6667,0,0,0,0.3333,0,0,0.3333,0.3333,0,0,0,0,0,0.6667,1.5,5.5,0,80,40,2,0.4,0.2,2,0.6,4,4,4,0,0.5,0.04137,2,0,0.4375,0.2394,0.75,0.25,0,0.4995,0.25,0.3636,2.25,2.75
'X1',0.2,0.2,1,1,4,1,5,5,5,7,67,71,0.6,0.4,0,3,2,2,2.75,3,1,0.5,0.5,0,0,0.25,0.75,0,0,0.25,0,0,0,0,0,0,0,0.25,2,2.5,0,69,96,1.391,0.2857,0.2857,1,0.5714,5,5,5,0,0.2,0.03694,2.5,0,0.275,0.0559,0.375,0.25,0,0.2808,0.0625,0.4211,1.875,2.375
'X1',0.5,0.5,1,1,10,2,2,2,2,10,64,69,0.5,0.5,2,1,2,10,10,1,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,120,0,120,1,0,0,1,1,1,1,0,1,0.07881,1,0,0.5,0,0.5,0.5,0,0.4995,0,0.5,1.5,2
'X1',0.25,0.25,1,1,2,2,4,4,4,7,67,70,0.75,0.25,0,4,0,2,4,3,1,0.3333,1,0.6667,0,0,0.3333,0.3333,0,0,0.3333,0,0,0,0,0,0,0.3333,3,5,0,160,48,3.333,0.3333,0.1667,2,0.5,5,5,5,0,0.4,0.03674,1.333,0,0.5,0.1768,0.75,0.375,0,0.4162,0.07217,0.3333,2.5,3
'X1',0.5,0.5,0.5,0.5,7,7,3,3,3,7,79,76,0.25,0.75,7,2,2,3,4.667,3,1,0.3333,1,1,0,0,0,0.6667,0,0,0.3333,0,0,0,0,1,0,0.6667,3,7,3,120,60,2,0.5,0.3333,1.5,0.8333,3,3,3,0,1,0.04891,1.333,0,0.5,0,0.5,0.5,0,0.4995,0,0.3333,2.5,3
'X1',0.5556,0.5556,0.4,0.4,2,2,4,4,4,8,71,70,0.8889,0.1111,11,2,2,2,2.125,4,2,0.375,0.6667,0.5,0.25,0,0.375,0.25,0.125,0,0,0,0,0,0,0,0,0.5,2,5,1.8,120,60,2,0.2917,0.2083,1.4,0.5,5,5,5,0,0.6,0.03615,2.25,0,0.3333,0.125,0.5,0.25,0,0.312,0.1157,0.25,3.5,4
'X1',0.6667,0.6667,0.5,0.5,4,4,2,2,2,4,71,69,1,0,11,1,2,0,2,2,4,0.5,1,1,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,160,0,160,1,0,0,1,1,1,1,0,1,0.07881,3,0,0.2083,0.07217,0.25,0.125,0,0.187,0.08839,0.6154,1.125,1.625
'X1',0.5714,0.5714,0.25,0.5,9,3,4,4,3,12,76,74,0.1429,0.8571,4,2,2,0,3.667,4,3,0.3333,1,0.8333,0.3333,0,0,0.3333,0,0,0.1667,0.1667,0,0,0,0,0,0.5,2,7.5,1.333,54,120,2.222,0.2,0.2,1,0.4,6,7,7,0,0.2857,0.03055,2.333,0,0.3036,0.09835,0.5,0.25,0,0.312,0.1046,0.32,2.625,3.125
'X1',0.4286,0.4286,0.3333,0.3333,4,11,5,5,5,9,71,71,0.7143,0.2857,11,3,1,3,3.333,4,1,0.3333,1,0.6667,0,0.1667,0.1667,0.6667,0.1667,0,0,0,0,0,0,1,0,0.5,2,3.667,2.5,120,54,2.222,0.2,0.1333,1.5,0.3333,6,8,8,0,0.25,0.02868,3.5,0,0.2321,0.04725,0.25,0.125,0,0.2287,0.05103,0.381,2.125,2.625
'X1',0.4,0.4,0.5,0.5,13,4,4,4,4,13,72,66,1,0,0,2,1,8,8.5,3,3,0.5,0.5,0,0,0,0,0,0.25,0,0,0.5,0,0,0.25,0,0,0.25,2,13,3,48,60,1.25,0.2857,0.2857,1,0.5714,5,5,5,0,0.2,0.03694,2.5,0,0.35,0.2236,0.75,0.25,0,0.3745,0.25,0.3636,2.25,2.75
'X1',0.2,0.2,1,1,2,2,5,5,5,9,67,71,0.6,0.4,2,5,0,2,4.75,4,1,0.25,1,0.25,0,0,0.25,0.25,0.25,0,0,0.25,0,0,0,0,0,0.5,2,5,0,120,60,2,0.375,0.25,1.5,0.625,5,5,5,0,0.6,0.03903,2.5,0,0.35,0.1369,0.5,0.25,0,0.3745,0.1443,0.3636,2.25,2.75
'X1',0.4,0.6,1,0.6667,2,2,3,3,2,12,72,70,0.6,0.4,2,1,2,0,3,3,2,0.5,0.5,0.75,0.5,0,0.25,0,0,0,0,0,0.25,0,0,0,0,1,0,0,1,120,80,1.5,0.5,0.3333,1.5,0.8333,3,3,3,0,0.6667,0.04891,2.5,0,0.25,0,0.25,0.25,0,0.2495,0,0.4444,1.75,2.25
'X1',0.4,0.4,0.5,0.5,2,7,4,4,4,10,71,73,0.6,0.4,11,3,2,2,4.5,4,1,0.25,1,0.25,0,0,0.25,0.25,0.25,0,0,0.25,0,0,0,0,0,0.5,4,8,3,120,60,2,0.2857,0.1429,2,0.4286,6,6,6,0,0.3333,0.0333,2.5,0,0.25,0.08839,0.375,0.125,0,0.2495,0.1021,0.4444,1.75,2.25
'X1',0.5,0.5,0.5,0.5,4,4,3,3,3,9,74,77,0,1,2,2,1,0,4.333,3,4,0.3333,1,0.6667,0.3333,0,0,0.3333,0,0,0,0.3333,0,0,0,0,0,0.5,2,9,1,69,80,1.159,0.25,0.25,1,0.5,4,4,4,0,0.25,0.03903,1.333,0,0.5312,0.5039,1.25,0.125,0,0.2912,0.1909,0.32,2.625,3.125
